Prefix,Country,"Network name",Interval
9376,Afghanistan,"Areeba Mobile",1/1
9377,Afghanistan,"Areeba Mobile",1/1
9374,Afghanistan,"At Mobile",1/1
9375,Afghanistan,"At Mobile",1/1
9370,Afghanistan,"Awcc Mobile",1/1
9371,Afghanistan,"Awcc Mobile",1/1
9378,Afghanistan,"Etisalat Mobile",1/1
93,Afghanistan,Other,1/1
9372,Afghanistan,"Roshan Mobile",1/1
9379,Afghanistan,"Roshan Mobile",1/1
35521153,Albania,"Amc Fixed",1/1
35521160,Albania,"Amc Fixed",1/1
35521161,Albania,"Amc Fixed",1/1
35521250,Albania,"Amc Fixed",1/1
35521262,Albania,"Amc Fixed",1/1
35521340,Albania,"Amc Fixed",1/1
35521362,Albania,"Amc Fixed",1/1
35521440,Albania,"Amc Fixed",1/1
35521460,Albania,"Amc Fixed",1/1
35521540,Albania,"Amc Fixed",1/1
35521541,Albania,"Amc Fixed",1/1
35521542,Albania,"Amc Fixed",1/1
35521543,Albania,"Amc Fixed",1/1
35521544,Albania,"Amc Fixed",1/1
35521545,Albania,"Amc Fixed",1/1
3552155,Albania,"Amc Fixed",1/1
35521650,Albania,"Amc Fixed",1/1
35521651,Albania,"Amc Fixed",1/1
35521662,Albania,"Amc Fixed",1/1
35521740,Albania,"Amc Fixed",1/1
35521741,Albania,"Amc Fixed",1/1
35521762,Albania,"Amc Fixed",1/1
35521844,Albania,"Amc Fixed",1/1
3552185,Albania,"Amc Fixed",1/1
35521940,Albania,"Amc Fixed",1/1
35521962,Albania,"Amc Fixed",1/1
3552253,Albania,"Amc Fixed",1/1
3552254,Albania,"Amc Fixed",1/1
3552280,Albania,"Amc Fixed",1/1
3552440,Albania,"Amc Fixed",1/1
35524620,Albania,"Amc Fixed",1/1
35526142,Albania,"Amc Fixed",1/1
35526160,Albania,"Amc Fixed",1/1
35526250,Albania,"Amc Fixed",1/1
35526293,Albania,"Amc Fixed",1/1
35526323,Albania,"Amc Fixed",1/1
35526350,Albania,"Amc Fixed",1/1
35526363,Albania,"Amc Fixed",1/1
35526373,Albania,"Amc Fixed",1/1
35526383,Albania,"Amc Fixed",1/1
35526450,Albania,"Amc Fixed",1/1
35526490,Albania,"Amc Fixed",1/1
35526523,Albania,"Amc Fixed",1/1
35526563,Albania,"Amc Fixed",1/1
35526650,Albania,"Amc Fixed",1/1
35526673,Albania,"Amc Fixed",1/1
35526723,Albania,"Amc Fixed",1/1
35526770,Albania,"Amc Fixed",1/1
35526840,Albania,"Amc Fixed",1/1
35526890,Albania,"Amc Fixed",1/1
35526920,Albania,"Amc Fixed",1/1
35526950,Albania,"Amc Fixed",1/1
35526970,Albania,"Amc Fixed",1/1
35526990,Albania,"Amc Fixed",1/1
35527023,Albania,"Amc Fixed",1/1
35527043,Albania,"Amc Fixed",1/1
35527053,Albania,"Amc Fixed",1/1
35527070,Albania,"Amc Fixed",1/1
35527140,Albania,"Amc Fixed",1/1
35527160,Albania,"Amc Fixed",1/1
35527190,Albania,"Amc Fixed",1/1
35527223,Albania,"Amc Fixed",1/1
35527253,Albania,"Amc Fixed",1/1
35527270,Albania,"Amc Fixed",1/1
35527323,Albania,"Amc Fixed",1/1
35527350,Albania,"Amc Fixed",1/1
35527370,Albania,"Amc Fixed",1/1
35527390,Albania,"Amc Fixed",1/1
35527440,Albania,"Amc Fixed",1/1
35527470,Albania,"Amc Fixed",1/1
35527490,Albania,"Amc Fixed",1/1
35527523,Albania,"Amc Fixed",1/1
35527550,Albania,"Amc Fixed",1/1
35527570,Albania,"Amc Fixed",1/1
35527590,Albania,"Amc Fixed",1/1
35527623,Albania,"Amc Fixed",1/1
35527660,Albania,"Amc Fixed",1/1
35527693,Albania,"Amc Fixed",1/1
35527723,Albania,"Amc Fixed",1/1
35527760,Albania,"Amc Fixed",1/1
35527790,Albania,"Amc Fixed",1/1
35527840,Albania,"Amc Fixed",1/1
35527860,Albania,"Amc Fixed",1/1
35527880,Albania,"Amc Fixed",1/1
35527923,Albania,"Amc Fixed",1/1
35527950,Albania,"Amc Fixed",1/1
35527970,Albania,"Amc Fixed",1/1
35527990,Albania,"Amc Fixed",1/1
35528123,Albania,"Amc Fixed",1/1
35528124,Albania,"Amc Fixed",1/1
35528140,Albania,"Amc Fixed",1/1
35528141,Albania,"Amc Fixed",1/1
35528143,Albania,"Amc Fixed",1/1
35528144,Albania,"Amc Fixed",1/1
35528170,Albania,"Amc Fixed",1/1
35528171,Albania,"Amc Fixed",1/1
35528190,Albania,"Amc Fixed",1/1
35528223,Albania,"Amc Fixed",1/1
35528250,Albania,"Amc Fixed",1/1
35528290,Albania,"Amc Fixed",1/1
35528323,Albania,"Amc Fixed",1/1
35528350,Albania,"Amc Fixed",1/1
35528390,Albania,"Amc Fixed",1/1
35528450,Albania,"Amc Fixed",1/1
35528472,Albania,"Amc Fixed",1/1
35528523,Albania,"Amc Fixed",1/1
35528570,Albania,"Amc Fixed",1/1
35528623,Albania,"Amc Fixed",1/1
35528643,Albania,"Amc Fixed",1/1
35528680,Albania,"Amc Fixed",1/1
35528742,Albania,"Amc Fixed",1/1
35528763,Albania,"Amc Fixed",1/1
35528790,Albania,"Amc Fixed",1/1
35528823,Albania,"Amc Fixed",1/1
35528850,Albania,"Amc Fixed",1/1
35528870,Albania,"Amc Fixed",1/1
35528890,Albania,"Amc Fixed",1/1
35528950,Albania,"Amc Fixed",1/1
35528970,Albania,"Amc Fixed",1/1
35528990,Albania,"Amc Fixed",1/1
35529140,Albania,"Amc Fixed",1/1
35529190,Albania,"Amc Fixed",1/1
35529240,Albania,"Amc Fixed",1/1
